SampleName,Regions,Replicates,comp_CPivsOther,comp_CPovsOther,comp_ISVZvsOther,comp_IZvsOther,comp_MZvsOther,comp_OSVZvsOther,comp_SPvsOther,comp_VZvsOther
10068A-CPi-RNA-lib,CPi,10068A,2,1,1,1,1,1,1,1
10068A-CPo-RNA-lib,CPo,10068A,1,2,1,1,1,1,1,1
10068A-ISVZ-RNA-lib,ISVZ,10068A,1,1,2,1,1,1,1,1
10068A-IZ-RNA-lib,IZ,10068A,1,1,1,2,1,1,1,1
10068A-MZ-RNA-lib,MZ,10068A,1,1,1,1,2,1,1,1
10068A-OSVZ-RNA-lib,OSVZ,10068A,1,1,1,1,1,2,1,1
10068A-SP-RNA-lib,SP,10068A,1,1,1,1,1,1,2,1
10068A-VZ-RNA-lib,VZ,10068A,1,1,1,1,1,1,1,2
10068B-CPi-RNA-lib,CPi,10068B,2,1,1,1,1,1,1,1
10068B-CPo-RNA-lib,CPo,10068B,1,2,1,1,1,1,1,1
10068B-ISVZ-RNA-lib,ISVZ,10068B,1,1,2,1,1,1,1,1
10068B-IZ-RNA-lib,IZ,10068B,1,1,1,2,1,1,1,1
10068B-MZ-RNA-lib,MZ,10068B,1,1,1,1,2,1,1,1
10068B-OSVZ-RNA-lib,OSVZ,10068B,1,1,1,1,1,2,1,1
10068B-SP-RNA-lib,SP,10068B,1,1,1,1,1,1,2,1
10068B-VZ-RNA-lib,VZ,10068B,1,1,1,1,1,1,1,2
11002A-CPi-RNA-lib,CPi,11002A,2,1,1,1,1,1,1,1
11002A-CPo-RNA-lib,CPo,11002A,1,2,1,1,1,1,1,1
11002A-ISVZ-RNA-lib,ISVZ,11002A,1,1,2,1,1,1,1,1
11002A-IZ-RNA-lib,IZ,11002A,1,1,1,2,1,1,1,1
11002A-MZ-RNA-lib,MZ,11002A,1,1,1,1,2,1,1,1
11002A-OSVZ-RNA-lib,OSVZ,11002A,1,1,1,1,1,2,1,1
11002A-SP-RNA-lib,SP,11002A,1,1,1,1,1,1,2,1
11002A-VZ-RNA-lib,VZ,11002A,1,1,1,1,1,1,1,2
11002B-CPi-RNA-lib,CPi,11002B,2,1,1,1,1,1,1,1
11002B-CPo-RNA-lib,CPo,11002B,1,2,1,1,1,1,1,1
11002B-ISVZ-RNA-lib,ISVZ,11002B,1,1,2,1,1,1,1,1
11002B-IZ-RNA-lib,IZ,11002B,1,1,1,2,1,1,1,1
11002B-MZ-RNA-lib,MZ,11002B,1,1,1,1,2,1,1,1
11002B-OSVZ-RNA-lib,OSVZ,11002B,1,1,1,1,1,2,1,1
11002B-SP-RNA-lib,SP,11002B,1,1,1,1,1,1,2,1
11002B-VZ-RNA-lib,VZ,11002B,1,1,1,1,1,1,1,2
