MGI.symbol,HGNC.symbol
Grin2d,GRIN2D
Psg20,PSG9
Cldn3,CLDN3
Fhl5,FHL5
Psg28,PSG9
mt-Co3,MT-CO3
Tspyl4,TSPYL4
Cst10,CST2
Ube2j1,UBE2J1
Ceacam2,PSG9
Kcnk9,KCNK9
Olfr1001-ps1,OR5G3
Gm10477,CT45A2
Psg21,PSG9
Psg26,PSG9
9530068E07Rik,C5orf15
4930430A15Rik,ANKRD18A
Ilf3,ILF3
Ceacam1,PSG9
Fgf16,FGF16
Psg16,PSG9
Ceacam3,PSG9
mt-Co2,MT-CO2
Prr3,PRR3
Gpbar1,GPBAR1
Cd99l2,CD99L2
mt-Nd3,MT-ND3
mt-Nd4l,MT-ND4L
Gm648,CT45A2
mt-Atp6,MT-ATP6
mt-Nd6,MT-ND6
Mrpl44,MRPL44
Abcg4,ABCG4
Chst14,CHST14
Poc5,POC5
Tmem245,TMEM245
Psg19,PSG9
mt-Nd5,MT-ND5
Psg29,PSG9
Psg25,PSG9
mt-Nd1,MT-ND1
Psg18,PSG9
Ptgdr,PTGDR
mt-Nd4,MT-ND4
3110043O21Rik,C9orf72
Psg23,PSG9
Ocm,OCM
Psg17,PSG9
mt-Cytb,MT-CYB
Ceacam12,PSG9
Ceacam10,PSG9
Psg27,PSG9
mt-Co1,MT-CO1
Ceacam5,PSG9
Armcx6,ARMCX6
Psg22,PSG9
mt-Nd2,MT-ND2
Ceacam11,PSG9
Poteg,ANKRD18A
mt-Atp8,MT-ATP8
Ceacam14,PSG9
Ankrd26,ANKRD18A
Ndrg3,NDRG3
Dthd1,DTHD1
Gm45861,ANKRD18A
Ceacam13,PSG9
S1pr4,S1PR4
Mcee,MCEE
Grhl2,GRHL2
Csnk1g2,CSNK1G2
Glrx,GLRX
Sacs,SACS
Noxa1,NOXA1
Entpd8,ENTPD8
Nme6,NME6
Nup93,NUP93
Srms,SRMS
Cchcr1,CCHCR1
Fndc1,FNDC1
Lmntd1,LMNTD1
Lgals1,LGALS1
Rhobtb3,RHOBTB3
Ralgps1,RALGPS1
Clcn4,CLCN4
Sectm1b,SECTM1
Abca1,ABCA1
Npm3,NPM3
Mageb16,MAGEB16
Ube2e3,UBE2E3
Utp18,UTP18
Sectm1a,SECTM1
Twist2,TWIST2
